Batch_Number,Mean_Fit_CE,Std_Fit_CE
249,0.31135883598931674,0.003885126186554885
250,0.3112840149684342,0.0038924339668428734
251,0.31120980972194984,0.00389969430118854
252,0.31113621276652825,0.003906907634080708
253,0.3110632167388941,0.00391407440499021
254,0.3109908143934426,0.0039211950484237855
255,0.31091899859990607,0.003928269993978025
256,0.3108477623410764,0.003935299666393203
257,0.3107770987105812,0.003942284485607031
258,0.3107070009107119,0.00394922486680828
259,0.31063746225030164,0.003956121220490221
